"",""
"Used Language","Used Language"
"Settings","Settings"
"Select only the language, which at the time of initial activation of your econda product has been selected.","Select only the language, which at the time of initial activation of your econda product has been selected."
"Only newer versions of the emos2.js file (received after September 2009) can handle Version 2. Copy your personal emos2.js file into the direcotory /js/tracker/.","Only newer versions of the emos2.js file (received after September 2009) can handle Version 2. Copy your personal emos2.js file into the direcotory /js/tracker/."
"Total Price (Grand Total)","Total Price (Grand Total)"
"Value of Goods without Tax (Subtotal)","Value of Goods without Tax (Subtotal)"
"Value of Goods with Tax (Subtotal + Tax)","Value of Goods with Tax (Subtotal + Tax)"
"Get Billing and Prices with or without Tax and Shipping","Get Billing and Prices with or without Tax and Shipping"
"Billing and Prices","Billing and Prices"
"Set Siteid manually. Only change this in agreement with econda. Leave empty, if not used.","Set Siteid manually. Only change this in agreement with econda. Leave empty, if not used."